frame,arm,activity,depth,cube_size,pushing_power,size_reduction,size_reduction_component,combined_reward
40,6,1.12,119,2,1.00,1.00,0.40,1.00
41,6,2.46,126,2,1.00,0.00,0.00,0.60
41,1,1.80,125,3,1.00,1.00,0.40,1.00
41,3,1.67,123,2,1.00,0.00,0.00,0.60
41,4,1.67,119,2,1.00,0.00,0.00,0.60
41,1,1.00,111,2,1.00,0.00,0.00,0.60
41,5,1.00,95,2,1.00,0.00,0.00,0.60
41,4,1.00,63,2,1.00,0.00,0.00,0.60
33,2,1.00,135,2,8.00,0.00,0.00,4.80
41,2,1.02,135,3,1.00,0.00,0.00,0.60
41,6,2.00,127,1,2.00,0.00,0.00,1.20
42,6,1.61,135,7,1.00,5.00,2.00,2.60
43,6,1.97,135,3,1.00,1.00,0.40,1.00
45,6,1.71,135,3,1.00,0.00,0.00,0.60
45,6,1.00,136,3,1.00,0.00,0.00,0.60
46,6,1.60,136,4,1.00,1.00,0.40,1.00
46,6,3.02,135,3,1.00,0.00,0.00,0.60
47,6,1.96,136,4,1.00,2.00,0.80,1.40
48,6,2.18,136,3,1.00,1.00,0.40,1.00
49,6,2.31,136,3,1.00,1.00,0.40,1.00
50,6,2.38,136,3,1.00,1.00,0.40,1.00
51,6,2.43,136,3,1.00,0.00,0.00,0.60
51,1,1.24,135,3,1.00,0.00,0.00,0.60
52,5,2.46,136,4,1.00,1.00,0.40,1.00
53,5,2.47,136,4,1.00,1.00,0.40,1.00
54,6,2.48,136,4,1.00,1.00,0.40,1.00
55,5,2.49,136,4,1.00,0.00,0.00,0.60
56,6,2.49,136,5,1.00,1.00,0.40,1.00
57,4,2.50,136,5,1.00,0.00,0.00,0.60
51,3,1.00,143,3,8.00,0.00,0.00,4.80
59,3,1.00,144,4,1.00,0.00,0.00,0.60
59,3,1.00,145,5,2.00,1.00,0.40,1.60
60,3,2.01,143,7,1.00,4.00,1.60,2.20
59,3,1.00,147,6,3.00,2.00,0.80,2.60
61,3,1.00,148,5,1.00,0.00,0.00,0.60
46,3,1.00,164,4,1.00,0.00,0.00,0.60
46,3,1.00,165,5,2.00,1.00,0.40,1.60
47,3,2.00,163,6,2.00,2.00,0.80,2.00
45,3,1.00,168,4,1.00,0.00,0.00,0.60
